business_id,category_id,name,short_description,address,phone,whatsapp,website_url,rappi_url,didi_food_url,uber_eats_url,google_maps_url,payment_methods,image,active,display_order,monday_open,monday_close,tuesday_open,tuesday_close,wednesday_open,wednesday_close,thursday_open,thursday_close,friday_open,friday_close,saturday_open,saturday_close,sunday_open,sunday_close
foodie_001,foodie,Sazón Escandón,Comida de barrio para disfrutar o llevar.,"Colonia Escandón, CDMX",5632442366,5632442366,https://somosenlace.app/,https://www.rappi.com.mx/,https://www.didi-food.com/,https://www.ubereats.com/mx,https://maps.google.com/,"Efectivo, tarjeta, transferencia",,True,1,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,10:00,16:00
foodie_002,foodie,La Esquina del Taco,Comida de barrio para disfrutar o llevar.,"Colonia Escandón, CDMX",5632442366,5632442366,https://somosenlace.app/,https://www.rappi.com.mx/,https://www.didi-food.com/,https://www.ubereats.com/mx,https://maps.google.com/,"Efectivo, tarjeta, transferencia",,True,2,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,10:00,16:00
foodie_003,foodie,Casa del Sabor,Comida de barrio para disfrutar o llevar.,"Colonia Escandón, CDMX",5632442366,5632442366,https://somosenlace.app/,https://www.rappi.com.mx/,https://www.didi-food.com/,https://www.ubereats.com/mx,https://maps.google.com/,"Efectivo, tarjeta, transferencia",,True,3,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,10:00,16:00
coffee_001,coffee,Café de la Esquina,"Café, pan y algo rico para cualquier momento.","Colonia Escandón, CDMX",5632442366,5632442366,https://somosenlace.app/,https://www.rappi.com.mx/,https://www.didi-food.com/,https://www.ubereats.com/mx,https://maps.google.com/,"Efectivo, tarjeta, transferencia",,True,1,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,10:00,16:00
coffee_002,coffee,Pan Escandón,"Café, pan y algo rico para cualquier momento.","Colonia Escandón, CDMX",5632442366,5632442366,https://somosenlace.app/,https://www.rappi.com.mx/,https://www.didi-food.com/,https://www.ubereats.com/mx,https://maps.google.com/,"Efectivo, tarjeta, transferencia",,True,2,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,10:00,16:00
coffee_003,coffee,La Taza,"Café, pan y algo rico para cualquier momento.","Colonia Escandón, CDMX",5632442366,5632442366,https://somosenlace.app/,https://www.rappi.com.mx/,https://www.didi-food.com/,https://www.ubereats.com/mx,https://maps.google.com/,"Efectivo, tarjeta, transferencia",,True,3,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,10:00,16:00
love_001,love,Love Stay Escandón,Un espacio para compartir algo especial.,"Colonia Escandón, CDMX",5632442366,5632442366,https://somosenlace.app/,https://www.rappi.com.mx/,https://www.didi-food.com/,https://www.ubereats.com/mx,https://maps.google.com/,"Efectivo, tarjeta, transferencia",,True,1,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,10:00,16:00
love_002,love,Suite Morelos,Un espacio para compartir algo especial.,"Colonia Escandón, CDMX",5632442366,5632442366,https://somosenlace.app/,https://www.rappi.com.mx/,https://www.didi-food.com/,https://www.ubereats.com/mx,https://maps.google.com/,"Efectivo, tarjeta, transferencia",,True,2,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,10:00,16:00
love_003,love,Noche Escandón,Un espacio para compartir algo especial.,"Colonia Escandón, CDMX",5632442366,5632442366,https://somosenlace.app/,https://www.rappi.com.mx/,https://www.didi-food.com/,https://www.ubereats.com/mx,https://maps.google.com/,"Efectivo, tarjeta, transferencia",,True,3,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,10:00,16:00
style_001,style,Style Studio,"Belleza, cuidado y estilo en el barrio.","Colonia Escandón, CDMX",5632442366,5632442366,https://somosenlace.app/,https://www.rappi.com.mx/,https://www.didi-food.com/,https://www.ubereats.com/mx,https://maps.google.com/,"Efectivo, tarjeta, transferencia",,True,1,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,10:00,16:00
style_002,style,Escandón Beauty,"Belleza, cuidado y estilo en el barrio.","Colonia Escandón, CDMX",5632442366,5632442366,https://somosenlace.app/,https://www.rappi.com.mx/,https://www.didi-food.com/,https://www.ubereats.com/mx,https://maps.google.com/,"Efectivo, tarjeta, transferencia",,True,2,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,10:00,16:00
style_003,style,Barrio Barber,"Belleza, cuidado y estilo en el barrio.","Colonia Escandón, CDMX",5632442366,5632442366,https://somosenlace.app/,https://www.rappi.com.mx/,https://www.didi-food.com/,https://www.ubereats.com/mx,https://maps.google.com/,"Efectivo, tarjeta, transferencia",,True,3,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,10:00,16:00
animal_001,animal,Animal Care Escandón,Servicios y productos para nuestros compañeros.,"Colonia Escandón, CDMX",5632442366,5632442366,https://somosenlace.app/,https://www.rappi.com.mx/,https://www.didi-food.com/,https://www.ubereats.com/mx,https://maps.google.com/,"Efectivo, tarjeta, transferencia",,True,1,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,10:00,16:00
animal_002,animal,Patas & Bigotes,Servicios y productos para nuestros compañeros.,"Colonia Escandón, CDMX",5632442366,5632442366,https://somosenlace.app/,https://www.rappi.com.mx/,https://www.didi-food.com/,https://www.ubereats.com/mx,https://maps.google.com/,"Efectivo, tarjeta, transferencia",,True,2,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,10:00,16:00
animal_003,animal,Vet Barrio,Servicios y productos para nuestros compañeros.,"Colonia Escandón, CDMX",5632442366,5632442366,https://somosenlace.app/,https://www.rappi.com.mx/,https://www.didi-food.com/,https://www.ubereats.com/mx,https://maps.google.com/,"Efectivo, tarjeta, transferencia",,True,3,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,10:00,16:00
shopping_001,shopping,Mercadito Escandón,Productos y detalles para las compras del día.,"Colonia Escandón, CDMX",5632442366,5632442366,https://somosenlace.app/,https://www.rappi.com.mx/,https://www.didi-food.com/,https://www.ubereats.com/mx,https://maps.google.com/,"Efectivo, tarjeta, transferencia",,True,1,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,10:00,16:00
shopping_002,shopping,La Tiendita,Productos y detalles para las compras del día.,"Colonia Escandón, CDMX",5632442366,5632442366,https://somosenlace.app/,https://www.rappi.com.mx/,https://www.didi-food.com/,https://www.ubereats.com/mx,https://maps.google.com/,"Efectivo, tarjeta, transferencia",,True,2,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,10:00,16:00
shopping_003,shopping,Bazar Escandón,Productos y detalles para las compras del día.,"Colonia Escandón, CDMX",5632442366,5632442366,https://somosenlace.app/,https://www.rappi.com.mx/,https://www.didi-food.com/,https://www.ubereats.com/mx,https://maps.google.com/,"Efectivo, tarjeta, transferencia",,True,3,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,10:00,16:00
